ESTACION,nom_estac,longitud,latitud,alt,registros,promedio_pm25,mediana_pm25,maximo_pm25,desviacion_pm25,CRITICA_EXPLORATORIA
SAC,Santiago Acahualtepec,-99.009381,19.34561,2293.0,12178,26.17,24.0,312.0,16.25,Sí
SAG,San Agustín,-99.030324,19.532968,2241.0,7495,23.04,21.0,227.0,12.56,Sí
