modelo,accuracy,precision,recall,f1,roc_auc,pr_auc
Random Forest Classifier,0.9045029764874123,0.3312412831241283,0.33209042181309717,0.3316653089724194,0.7962233534669249,0.27700233935153384
Regresión logística,0.6697928098706308,0.14580204778156997,0.746679095781869,0.24396558288281428,0.7652817528056949,0.17345855193965357
Dummy Classifier,0.9286474442116466,0.0,0.0,0.0,,
